Element, data.x, data.y, data.z, data.w
0, B33BBD2E, 3F800000, 00000000, 00000000
1, BF800000, B33BBD2E, 00000000, 00000000
2, 00000000, 00000000, 3F7FFFFF, 00000000
3, 00000000, 00000000, 00000000, 3F800000
4, BF3504F3, BED105EB, 3F13CD3A, 00000000
5, 3F3504F3, BED105EB, 3F13CD3A, 00000000
6, 00000000, 3F5105EB, 3F13CD3A, 00000000
7, 80000000, 80000000, C05DB3D7, 3F800000
8, 3FE7C3B6, 00000000, 00000000, 00000000
9, 00000000, C01A8279, 00000000, 00000000
10, 00000000, 00000000, BF8295FB, BF800000
11, 00000000, 00000000, BE4EDE63, 00000000
